Turkish,English
bir,one
bu,this
ve,and
ne,What
için,for
mi,Did you
ben,I
çok,very
de,also
ama,but
var,there is
evet,Yes
mı,is
değil,not
hayır,no
şey,thing
da,in
sen,joyful
daha,more
bana,to me
kadar,until
bunu,this
onu,him-her-it
tamam,OK
seni,you
beni,me
iyi,good
yok,no
gibi,like
benim,just me
her,each
sana,you
ki,that
sadece,only
neden,why is that
senin,your
burada,here
zaman,time
olduğunu,that
nasıl,how
hiç,no
şimdi,now
sonra,Then
en,most
mu,is
misin,will you
şu,That
ya,either
öyle,so
biraz,some
önce,before
musun,Do you
güzel,beautiful
hadi,let's
ona,him
İyi,Good
oldu,it was
bak,look
lütfen,Please
yani,so
böyle,such
geri,back
eğer,if
bile,even
onun,her
istiyorum,I want
çünkü,because
biliyorum,I know
gerçekten,really
artık,no longer
belki,maybe
peki,Well
kim,who
hey,Hey
başka,another
tek,single
doğru,true
bay,Mr
olarak,as
büyük,big
buraya,here
biri,someone
tanrım,my god
olan,one
sanırım,I think
adam,man
olacak,it will be
olur,would
yardım,help
demek,say
hiçbir,no
bilmiyorum,I do not know
efendim,Sir
nerede,where
bunun,its
biz,we
teşekkürler,Thank you
ile,with
orada,there
merhaba,Hello there
et,meat
fazla,much
İşte,Request
yeni,new
kötü,bad
biliyor,he knows
gece,night
gün,day
harika,great
tüm,all
ederim,I would
son,end
bütün,all
haydi,lets
iki,two
şeyi,thing
şeyler,things
tam,full
sorun,problem
üzgünüm,sorry
hemen,immediately
ol,be
olsun,get
küçük,small
siz,you
onları,them
size,to you
oh,oh
gerek,need
hakkında,about
ver,give
gel,come
olabilir,can
devam,continuation
aynı,same
diye,that
kız,girl
bize,to us
bizi,us
buna,this
teşekkür,thank
bayan,Lady
pekala,well
kendi,own
oluyor,is happening
izin,permission
tabii,Of course
iş,business
sizi,you
yüzden,why
kimse,nobody
lanet,curse
dur,Stop
hala,still
git,go
seninle,with you
selam,Hello
dostum,my friend
asla,never
mısın,will you
değilim,I am not
önemli,important
baba,father
içinde,in
tekrar,again
mü,is
bizim,our
benimle,with me
söyle,tell
göre,by
vardı,had
anne,mother
